City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
569,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
570,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
571,Coronado,US,85.03,scattered clouds,32.6859,-117.1831,Hilton San Diego Bayfront
573,Emirdag,TR,65.25,clear sky,39.0197,31.15,Emirdağ Öğretmenevi
574,Pokhara,NP,71.2,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
575,Doka,SD,71.02,scattered clouds,13.5167,35.7667,Um Rakuba Refugee Camp
577,Manokwari,ID,81.82,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
578,Hounde,BF,73.02,light rain,11.5,-3.5167,Carrefour où ouvriers dorment
579,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
580,Isla Mujeres,MX,82.45,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
581,Santo Domingo,DO,82.04,broken clouds,18.5001,-69.9886,Cabañas City Heart
582,Tautira,PF,78.69,light rain,-17.7333,-149.15,Pension Oaoa
585,Narasannapeta,IN,80.4,moderate rain,18.4167,84.05,AVK events and catering
586,Gizo,SB,83.1,light rain,-8.103,156.8419,Imagination Island
